Nick                          S34     S33     S32     S31     S30     S29     S28     S27     S26     S25     S24     S23     S22     S21     S20     S19     S18     S17     S16     S15     S14     S13     S12     S11     S10      S9      S8      S7      S6      S5      S4      S3      S2      S1
shin0e                     2628.3  2646.6  2708.5  2732.9  2701.3  2723.8  2756.5  2806.7  2880.6  2911.4  2906.3  2867.4  2837.1  2781.2  2808.7  2779.2  2718.9  2744.1  2762.4  2811.5  2806.2  2825.9  2834.5  2834.8  2844.5  2810.8  2780.8  2719.9  2744.9  2695.8  2708.3  2685.9  2700.6  2636.4
davide12                   2616.2  2616.2  2616.2  2616.2  2616.2  2616.2  2616.2  2616.2  2616.1  2616.1  2616.1  2616.1  2616.1  2616.1  2616.1  2616.1  2616.1  2616.1  2625.9  2625.0  2625.0  2625.0  2625.0  2625.0  2625.0  2625.0  2625.0  2625.0  2625.0  2625.1  2625.1  2625.1  2625.1  2625.1
Strut_Swan                 2611.2  2611.2  2611.2  2611.2  2611.2  2611.2  2664.9  2653.0  2598.3  2597.9  2618.9  2618.9  2618.8  2618.8  2618.8  2618.8  2618.8  2618.8  2618.8  2618.8  2618.9  2618.9  2618.9  2618.9  2618.9  2618.9  2618.9  2618.9  2618.9  2618.9  2618.9  2618.9  2618.9  2618.9
andy92                     2609.2  2589.8  2580.7  2595.3  2628.6  2660.4  2615.5  2597.8  2584.0  2543.3  2543.1  2546.3  2522.7  2504.1  2510.4  2502.6  2529.9  2603.9  2599.2  2594.5  2589.7  2585.0  2596.6  2610.1  2640.2  2571.4  2567.2  2472.4  2461.1  2412.4  2412.5  2412.5  2412.5  2412.5
myszcz                     2603.1  2603.1  2603.1  2603.0  2603.0  2603.0  2603.0  2603.0  2603.0  2603.0  2603.0  2603.0  2603.0  2603.0  2603.0  2603.0  2603.0  2603.0  2603.0  2603.0  2603.0  2603.0  2603.0  2603.0  2613.2  2682.8  2604.3  2575.8  2533.1  2519.7  2558.6  2558.6  2558.6  2558.6
boolboh                    2602.3  2602.3  2602.3  2602.3  2602.3  2602.3  2602.3  2602.3  2602.3  2602.3  2602.3  2602.3  2602.3  2602.3  2602.3  2602.3  2602.3  2602.3  2602.3  2602.3  2602.3  2667.3  2710.7  2694.3  2643.0  2597.1  2597.1  2597.1  2597.1  2597.1  2597.1  2597.1  2597.1  2597.0
woodpecker                 2601.9  2601.9  2601.9  2601.9  2601.9  2601.9  2601.9  2601.9  2601.9  2601.9  2601.9  2601.9  2601.9  2601.9  2601.9  2601.9  2601.9  2601.9  2601.9  2601.9  2601.9  2601.9  2601.9  2601.9  2611.0  2592.7  2614.6  2618.0  2635.8  2627.9  2627.9  2627.9  2627.9  2627.9
theob                      2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0  2598.0
KaC                        2590.8  2590.8  2608.6  2626.5  2644.3  2662.1  2680.0  2697.8  2715.6  2733.4  2767.7  2735.9  2704.2  2737.2  2769.5  2801.8  2834.1  2866.3  2898.6  2930.9  2963.2  2976.4  2990.0  2968.2  2951.6  3035.5  2994.3  2930.3  2915.6  2934.1  2925.4  2935.4  2937.5  2970.6
Radziol                    2589.8  2589.8  2589.8  2589.8  2589.8  2589.8  2589.8  2589.8  2589.8  2589.8  2589.8  2589.8  2589.7  2589.7  2649.8  2724.1  2810.9  2811.1  2811.2  2707.7  2656.7  2691.8  2726.9  2762.0  2797.1  2832.2  2930.8  2951.0  2938.2  2925.3  2912.5  2906.1  2867.4  2832.2
ecz                        2582.4  2582.4  2582.4  2582.4  2582.4  2582.4  2582.4  2582.4  2582.4  2582.4  2582.3  2582.3  2582.3  2582.3  2582.3  2582.3  2582.3  2582.3  2582.3  2582.3  2607.7  2607.7  2607.7  2607.7  2607.7  2607.7  2607.7  2607.7  2607.7  2607.7  2607.7  2607.8  2607.8  2607.8
Sarielowicz                2561.2  2561.2  2561.2  2561.2  2561.2  2561.2  2561.2  2561.2  2561.2  2561.2  2561.2  2561.2  2561.2  2561.2  2561.2  2561.2  2481.1  2507.6  2597.3  2686.9  2708.8  2656.9  2591.0  2539.2  2456.9  2381.2  2321.0  2321.0  2321.0  2321.0  2321.0  2321.0  2321.0  2321.0
